fight_pk,fighter,res,avg_kd,avg_kds_received,avg_pass,avg_rev,avg_sig_reg_mixture,avg_sig_reg_percent,avg_sig_strike_attempts,avg_sig_strike_differential,avg_sig_strike_landed,avg_sig_strike_percent,avg_sig_strikes_avoided,avg_sig_strikes_received,avg_strike_attempts,avg_strike_differential,avg_strike_landed,avg_strike_percent,avg_strikes_avoided,avg_strikes_received,avg_sub_attempts,avg_td_attempts,avg_td_landed,avg_td_percent,avg_tds_defended,avg_tds_received,days_since_last_fight,loss_could_not_continue,loss_decision,loss_dq,loss_ko/tko,loss_other,loss_overturned,loss_submission,loss_tko,num_fights,total_kds_received,total_losses,total_rounds,total_sig_strikes_absorbed,total_strikes_absorbed,total_wins,weight_class,win_could_not_continue,win_decision,win_dq,win_ko/tko,win_other,win_overturned,win_submission,win_tko,elo
2,Zane Frazier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
14,Alberta Cerra Leon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
11,David Levicki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
12,Frank Hamaker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
18,Fred Ettish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
15,Jason DeLucia,1,0,0,1,0,1,0.3333333333333333,9,0,3,0.3333333333333333,6,1,9,0,3,0.3333333333333333,6,1,1,2,1,0.5,0,0,119,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,Men_Catchweight,0,0,0,0,0,0,1,0,1512.5
20,Jason DeLucia,0,0,0,1,0,1,0.3333333333333333,9,0,3,0.3333333333333333,6,1,9,0,3,0.3333333333333333,6,1,1,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,15,2,Men_Catchweight,0,0,0,0,0,0,2,0,1524.5504702906808
18,Johnny Rhodes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1512.5
11,Johnny Rhodes,1,1,0,1,0,0.7631578947368421,0.5074626865671642,29,0,13,0.4482758620689655,3,4,38,0,21,0.5526315789473685,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,1,Men_Catchweight,0,0,0,0,0,0,1,0,1500
21,Johnny Rhodes,0,1,0,1,0,0.7631578947368421,0.5074626865671642,29,0,13,0.4482758620689655,3,4,38,0,21,0.5526315789473685,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,102,2,Men_Catchweight,0,0,0,1,0,0,1,0,1524.5504702906808
16,Minoki Ichihara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
13,Orlando Wiet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
19,Orlando Wiet,0,0,0,0,0,0.8,0.7037037037037037,12,0,8,0.6666666666666666,4,2,15,0,11,0.7333333333333333,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,Men_Catchweight,0,0,0,1,0,0,0,0,1512.5
21,Patrick Smith,1,0,0,0,0,0.4,0.7142857142857143,8,0,4,0.5,0,1,20,0,16,0.8,0,4,0,0,0,0,1,1,119,0,0,0,0,0,0,1,0,1,1,1,1,1,4,0,Men_Catchweight,0,0,0,0,0,0,0,0,1513.3829064612783
17,Patrick Smith,1,0,0,0,0,0.4,0.7142857142857143,8,0,4,0.5,0,1,20,0,16,0.8,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,2,5,8,1,Men_Catchweight,0,0,0,0,0,0,1,0,1500.4495297093192
10,Patrick Smith,1,0,0,0,0,0.6,0.6150793650793651,9.333333333333334,1,4.333333333333333,0.47222222222222227,1.6666666666666667,2,17.333333333333332,4,12.333333333333334,0.6722222222222222,1.6666666666666667,4,0.3333333333333333,0,0,0,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,1,0,3,1,1,3,5,8,2,Men_Catchweight,0,0,0,1,0,0,1,0,1487.5
23,Patrick Smith,0,0,0,0.25,0,0.62,0.6517857142857143,11.25,1,6.5,0.545343137254902,1.25,1.5,19.25,3.25,14,0.6941666666666666,1.25,3,0.25,0,0,0,0.75,0.5,0,0,0,0,0,0,0,1,0,4,1,1,4,6,10,3,Men_Catchweight,0,0,0,1,0,0,2,0,1526.2845535549045
10,Ray Wizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
19,Remco Pardoel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1512.5
14,Remco Pardoel,1,0,0,1,0,1,1,7,0,7,1,1,1,7,0,7,1,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,1,Men_Catchweight,0,0,0,1,0,0,0,0,1500
22,Remco Pardoel,0,0,0,1,0,1,1,7,0,7,1,1,1,7,0,7,1,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,14,2,Men_Catchweight,0,0,0,1,0,0,1,0,1525
13,Robert Lucarelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
23,Royce Gracie,1,0,0,2,0.3333333333333333,0.3333333333333333,0.7777777777777777,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,6.666666666666667,1,6,0.8333333333333334,0,0,1,2.3333333333333335,0.6666666666666666,0.2222222222222222,0.3333333333333333,0,119,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,Men_Catchweight,0,0,0,0,0,0,3,0,1571.5248478350481
22,Royce Gracie,1,0,0,2,0.25,0.35714285714285715,0.6833333333333332,1.75,0.25,0.5,0.25,0,0,6.75,3.75,5.5,0.7678571428571428,0,0,0.75,2,0.75,0.41666666666666663,0.25,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,2,4,Men_Catchweight,0,0,0,1,0,0,3,0,1560.29016509666
20,Royce Gracie,1,0,0,2,0.2,0.35844155844155845,0.7466666666666666,2.2,0.2,1.2,0.4,0.2,0.2,7.6,3.8,6.6,0.8142857142857143,0.2,0.4,0.6,2,0.8,0.4333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1,2,5,Men_Catchweight,0,0,0,1,0,0,4,0,1548.6560438838844
16,Royce Gracie,1,0,0,1.8333333333333333,0.16666666666666666,0,0,1.8333333333333333,0.6666666666666666,1,0.3333333333333333,0.16666666666666666,0.16666666666666666,6.333333333333333,4.666666666666667,5.5,0,0.16666666666666666,0.3333333333333333,0.6666666666666666,2,0.8333333333333334,0.4444444444444444,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,6,1,0,6,1,2,6,Men_Catchweight,0,0,0,1,0,0,5,0,1537.5
15,Scott Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
9,Scott Morris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
17,Scott Morris,0,0,0,1,0,0.5,1,1,0,1,1,4,0,2,0,2,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,Men_Catchweight,0,0,0,0,0,0,1,0,1512.5
9,Sean Daugherty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
12,Thaddeus Luster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
25,Christophe Leninger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
24,Emmanuel Yarborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
28,Felix Lee Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
26,Harold Howard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
29,Harold Howard,0,1,0,0,0,0.8,0.7777777777777778,12,0,9,0.75,1,3,15,0,12,0.8,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,1,Men_Catchweight,0,0,0,1,0,0,0,0,1512.5
24,Keith Hackney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
28,Ken Shamrock,1,0,0,0,0,0.25,1,1,0,1,1,4,4,4,0,4,1,4,16,2,2,1,0.5,0,0,301,0,0,0,0,0,0,1,0,2,0,1,2,4,28,1,Men_Catchweight,0,0,0,0,0,0,1,0,1512.5
25,Ken Shamrock,1,0,0,0,0,0,0,0.6666666666666666,-1,0.6666666666666666,0.6666666666666666,2.6666666666666665,2.6666666666666665,2.6666666666666665,-4,2.6666666666666665,0,2.6666666666666665,14.666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,1,0,3,0,1,3,7,49,2,Men_Catchweight,0,0,0,0,0,0,2,0,1500
27,Kimo Leopoldo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
26,Roland Payne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
27,Royce Gracie,1,0,0,1.7142857142857142,0.2857142857142857,0,0,1.5714285714285714,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.14285714285714285,5.428571428571429,4,4.714285714285714,0,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.7142857142857142,0.7142857142857143,0.38095238095238093,0.14285714285714285,0.14285714285714285,182,0,0,0,0,0,0,0,0,7,1,0,7,4,14,7,Men_Catchweight,0,0,0,1,0,0,6,0,1582.4063344785725
29,Steve Jennum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
34,Anthony Macias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
36,Dan Severn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1512.5
34,Dan Severn,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,Men_Catchweight,0,0,0,0,0,0,1,0,1500
37,Dan Severn,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,9,14,2,Men_Catchweight,0,0,0,0,0,0,2,0,1524.5504702906808
30,Guy Mezger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
30,Jason Fairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
32,Joe Son,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
32,Keith Hackney,1,1,0,0,0,0.9615384615384616,0.6862745098039216,50,0,34,0.68,4,1,52,0,36,0.6923076923076923,5,4,0,0,0,0,1,0,98,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,Men_Catchweight,0,0,0,1,0,0,0,0,1512.5
35,Keith Hackney,0,1,0,0,0,0.9615384615384616,0.6862745098039216,50,0,34,0.68,4,1,52,0,36,0.6923076923076923,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,8,2,Men_Catchweight,0,0,0,1,0,0,1,0,1524.5504702906808
36,Marcus Bossett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
33,Melton Bowen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
31,Ron van Clief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
37,Royce Gracie,1,0,0,1.625,0.25,0,0,1.875,0.5,1,0.3125,0.625,0.5,19,3.5,17.875,0,0.625,1.75,0.875,1.625,0.75,0.4583333333333333,0.125,0.125,98,0,0,0,0,0,0,0,0,8,2,0,8,10,20,8,Men_Catchweight,0,0,0,1,0,0,7,0,1611.0454203328727
35,Royce Gracie,1,0,0,1.5555555555555556,0.3333333333333333,0,0,2.3333333333333335,0.3333333333333333,1.1111111111111112,0.3148148148148148,0.8888888888888888,1.1111111111111112,19.22222222222222,14,17.77777777777778,0,1,2.2222222222222223,0.8888888888888888,1.6666666666666667,0.6666666666666666,0.4074074074074074,0.1111111111111111,0.2222222222222222,0,0,0,0,0,0,0,0,0,9,3,0,9,14,47,9,Men_Catchweight,0,0,0,1,0,0,8,0,1601.2613254804933
31,Royce Gracie,1,0,0,1.4,0.3,0,0,2.5,-0.1,1,0.2833333333333333,1.1,1.4,25.7,13.7,24,0,2.5,4.7,1.1,1.5,0.6,0.36666666666666664,0.1,0.3,0,0,0,0,0,0,0,0,0,10,3,0,10,18,54,10,Men_Catchweight,0,0,0,1,0,0,9,0,1591.99590158232
33,Steve Jennum,1,0,0,3,0,0.8461538461538461,0.5416666666666666,11,0,6,0.5454545454545454,4,2,13,0,7,0.5384615384615384,4,3,0,1,1,1,0,0,98,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,Men_Catchweight,0,0,0,1,0,0,0,0,1512.9495297093192
40,Andy Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
38,Asbel Cancio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
47,Dan Severn,1,0,0,1.6666666666666667,0,0,0,0,-0.3333333333333333,0,0,1,3.3333333333333335,0,-0.6666666666666666,0,0,1.3333333333333333,5.333333333333333,1,2.3333333333333335,1.3333333333333333,0.7999999999999999,0,0,112,0,0,0,0,0,0,1,0,3,0,1,3,9,94,2,Men_Catchweight,0,0,0,0,0,0,2,0,1539.033316090402
45,Dan Severn,1,0,0,1.25,0,0,0,1.75,-2.25,1,0.14285714285714285,1.75,2.5,10.75,-3.5,6.75,0,2,24,0.75,2,1.25,0.85,0,0,0,0,0,0,0,0,0,1,0,4,0,1,4,11,99,3,Men_Catchweight,0,0,0,0,0,0,3,0,1527.0567303298317
43,Dan Severn,1,0,0,1.2,0,0,0,2,-1,1.2,0.24761904761904763,2.2,2.4,11.2,-13.4,7.6,0,2.6,20.2,0.8,1.8,1.2,0.8800000000000001,0,0,0,0,0,0,0,0,0,1,0,5,0,1,5,11,99,4,Men_Catchweight,0,0,0,0,0,0,3,1,1515.0996418413697
44,Dave Beneteau,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1512.5
38,Dave Beneteau,1,0,0,2,0,0.4642857142857143,0.7317073170731707,13,0,8,0.6153846153846154,0,0,28,0,22,0.7857142857142857,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,Men_Catchweight,0,0,0,1,0,0,0,0,1500
47,Dave Beneteau,0,0,0,2,0,0.4642857142857143,0.7317073170731707,13,0,8,0.6153846153846154,0,0,28,0,22,0.7857142857142857,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,Men_Catchweight,0,0,0,2,0,0,0,0,1525
42,Ernie Verdicia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
39,Guy Mezger,1,0,1,2,0,0.8823529411764706,0.65625,30,0,19,0.6333333333333333,3,9,34,0,23,0.6764705882352942,3,12,0,1,1,1,0,0,112,0,0,0,0,0,0,0,0,1,0,0,1,9,12,1,Men_Catchweight,0,0,0,1,0,0,0,0,1512.5
43,Joe Charles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
39,John Dowdy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
40,Jon Hess,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
46,Ken Shamrock,0,0,0,0.75,0,0,0,1.5,-0.75,1.5,0.75,2,2.75,3.75,-6,3.75,0,2.25,16.25,1.25,1.75,0.75,0.375,0.25,0,210,0,0,0,0,0,0,1,0,4,0,1,4,8,70,3,Men_Catchweight,0,0,0,1,0,0,2,0,1524.5504702906808
41,Larry Cureton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
42,Oleg Taktarov,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
45,Oleg Taktarov,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7,1,Men_Catchweight,0,0,0,0,0,0,1,0,1512.5
46,Royce Gracie,0,0,0,1.2727272727272727,0.2727272727272727,0,0,4.363636363636363,-0.45454545454545453,1.9090909090909092,0.3010540184453228,1.8181818181818181,1.6363636363636365,28.636363636363637,17.272727272727273,25.90909090909091,0,3.090909090909091,4.909090909090909,1.2727272727272727,1.5454545454545454,0.5454545454545454,0.3333333333333333,0.09090909090909091,0.2727272727272727,112,0,0,0,0,0,0,0,0,11,3,0,11,18,54,11,Men_Catchweight,0,0,0,1,0,0,10,0,1620.4962487821838
41,Todd Medina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men_Catchweight,0,0,0,0,0,0,0,0,1500
44,Todd Medina,0,0,0,1,0,0.06060606060606061,0.9714285714285714,4,0,4,1,1,1,66,0,64,0.9696969696969697,1,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,15,1,Men_Catchweight,0,0,0,0,0,0,1,0,1512.5
